object_id,volume_nm_3,voxel_count,com_x_nm,com_y_nm,com_z_nm
91,47733800.96,139,20111.7,767.6,13267.9
178,47046983.68,137,211.7,592.0,15849.6
308,46703575.04,136,46077.1,878.9,9898.5
340,46360166.4,135,3938.3,1372.1,1776.3
24,46016757.76,134,28880.6,2761.0,20807.2
75,46016757.76,134,30986.9,1845.9,7436.0
414,46016757.76,134,42768.1,2252.8,31437.4
183,45673349.12,133,21654.3,1068.9,18098.3
14,45329940.48,132,25864.2,1260.1,17599.3
81,44986531.84,131,6250.7,1546.9,31276.4
52,44643123.2,130,3214.2,1206.6,15160.8
261,43612897.28,127,42506.9,1799.3,33092.7
70,43269488.64,126,30620.5,3519.0,18765.6
250,43269488.64,126,26302.0,1145.9,16004.8
376,43269488.64,126,27832.4,2496.5,21701.3
306,42582671.36,124,44815.0,1217.6,6937.2
177,42239262.72,123,45497.6,3066.1,29848.9
408,41552445.44,121,12983.9,1363.4,12677.7
409,41209036.8,120,14054.0,1817.7,10618.5
131,40865628.16,119,18317.3,1620.3,22883.2
262,40865628.16,119,38195.0,1837.6,3175.9
332,40865628.16,119,12722.4,1212.1,14266.0
134,39835402.24,116,15579.2,1024.2,13062.7
77,39491993.6,115,12253.4,1894.9,12728.3
350,38118359.04,111,32436.5,2402.6,8386.3
62,37431541.76,109,14459.9,1778.0,9424.8
257,37088133.12,108,16086.3,3685.7,20823.9
317,35371089.92,103,18974.0,3432.6,7519.0
315,34684272.64,101,14633.4,1119.3,17463.9
69,34340864.0,100,45973.0,1144.9,10825.3
274,34340864.0,100,14913.8,961.2,20155.9
287,34340864.0,100,24258.5,681.5,13582.0
102,33997455.36,99,23721.0,1121.2,12345.1
126,33997455.36,99,22903.9,1386.3,16467.7
265,32967229.44,96,40981.3,1920.7,252.4
105,32623820.8,95,24246.3,990.0,12349.7
202,32623820.8,95,33861.7,1448.1,9944.8
266,32280412.16,94,36847.0,1777.7,28905.2
141,31593594.88,92,12853.0,4121.8,13794.5
164,31593594.88,92,41125.7,1117.3,7499.2
357,31593594.88,92,32917.0,3893.0,16647.8
382,31593594.88,92,46338.9,4121.1,32540.1
53,31250186.24,91,15221.9,1009.0,16571.4
112,31250186.24,91,33073.7,1900.1,27032.1
334,30906777.6,90,3872.8,3407.8,29347.9
103,30563368.96,89,25961.5,1556.7,7622.6
209,29876551.68,87,15657.0,779.6,17590.8
2,29533143.04,86,33289.2,1662.0,3017.6
338,29533143.04,86,265.9,2127.1,29080.1
411,29189734.4,85,31451.7,4510.8,9628.6
403,28846325.76,84,4555.0,4626.6,29867.4
245,28502917.12,83,8478.8,3140.6,14115.3
84,28159508.48,82,45419.3,2599.4,31994.6
275,28159508.48,82,44320.3,619.3,17663.1
379,28159508.48,82,47340.0,3000.5,1061.7
127,27816099.84,81,46452.9,1877.3,2050.4
187,27816099.84,81,47247.8,1435.6,2064.9
302,27816099.84,81,47142.7,1836.2,1782.3
15,27472691.2,80,21345.2,758.8,17492.7
106,27472691.2,80,23135.6,780.4,15282.5
396,27472691.2,80,32482.0,2758.8,7690.7
8,26785873.92,78,16991.6,1087.6,11362.0
97,26785873.92,78,43922.5,936.7,14460.9
345,26785873.92,78,22985.5,974.4,15704.5
415,26785873.92,78,35184.1,3518.8,11607.1
140,26099056.64,76,21022.8,5416.9,12586.6
196,25755648.0,75,47745.8,577.0,12475.6
269,25068830.72,73,26227.0,976.0,13149.3
9,24725422.08,72,20517.1,1038.9,12918.1
236,24725422.08,72,43180.2,1159.8,21083.1
234,24038604.8,70,3565.5,3362.6,30050.4
333,23695196.16,69,24001.2,3142.8,21307.9
